title,description,artist,culture,country,teaserText,url,image,regularImage,largeImage,period,date,medium,general medium,accessionNumber,galleryInformation
"""A puritan resting"": an elderly man sleeping in a chair accompanied by his dog","Antonio Orellana (Mexican, fl. 1860s)",Antonio Orellana,,unknown,"Antonio Orellana (Mexican, fl. 1860s) Date: 1860 (reprinted 1938)<br/>Accession Number: 46.46.452(16)",/art/collection/search/748410?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=1,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1860 (reprinted 1938),19th century,Engraving,Engraving,46.46.452(16),Not on view
"""Gallant conversation"" (Conversation galante): couples engage in conversation in a garden setting, at left a musician plays for the group, at right a woman holds a reclining lap dog","Jacques Philippe Le Bas (French, Paris 1707-1783 Paris)",Jacques Philippe Le Bas,,unknown,"Jacques Philippe Le Bas (French, Paris 1707-1783 Paris) Date: 1743<br/>Accession Number: 2012.136.844",/art/collection/search/416826?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=2,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP831908.jpg,dp/web-additional/DP831908.jpg,dp/web-large/DP831908.jpg,1743,18th century,Etching and engraving,Etching and engraving,2.012.136.844,Not on view
"""Trio"" a woman holding a child, a dog lower left","Jean Charlot (French, Paris 1898-1979 Honolulu, Hawaii)",Jean Charlot,,unknown,"Jean Charlot (French, Paris 1898-1979 Honolulu, Hawaii) Date: 1950<br/>Accession Number: 61.603.18",/art/collection/search/747280?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=3,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1950,20th century,Colour lithograph on stone,Colour lithograph on stone,61.603.18,Not on view
"(r) Sketches of Andrée Bonnard, the dog Ravageau, Claude Terrasse and, at lower left, the artist, himself, c. 1889; (v) A Grass Hut before a Wattled Fence","Pierre Bonnard (French, Fontenay-aux-Roses 1867-1947 Le Cannet)",Pierre Bonnard,,unknown,"Pierre Bonnard (French, Fontenay-aux-Roses 1867-1947 Le Cannet) Date: ca. 1889<br/>Accession Number: 1998.198a, b",/art/collection/search/336010?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=4,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP805356.jpg,dp/web-additional/DP805356.jpg,dp/web-large/DP805356.jpg,ca. 1889,19th century,Pen and ink,Pen and ink,"1998.198a, b",Not on view
"Abraham and Hagar in the foreground, with an angel behind her left shoulder and a young boy seated on the ground with a dog in the left background; on the right, Sarah watches from inside a shelter, with two male passersby at the far right","Carlo Faucci (Italian, 1729-ca. 1784)",Carlo Faucci,,unknown,"Carlo Faucci (Italian, 1729-ca. 1784) Date: 1766<br/>Accession Number: 62.650.531bis",/art/collection/search/747112?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=5,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1766,18th century,Engraving,Engraving,62.650.531bis,Not on view
Actress holding a dog and wearing a hat and gloves from Actresses (N392) (type 3) issued by National Cigarette &amp; Tobacco Co. to promote Admiral Cigarette,Issued by National Cigarette &amp; Tobacco Co.,National Cigarette & Tobacco Co.,,unknown,"Issued by National Cigarette &amp; Tobacco Co.Date: ca. 1888-95<br/>Accession Number: Burdick 225, N392.909",/art/collection/search/651516?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=6,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1888-95,19th century,Albumen photograph,Albumen photograph,"Burdick 225, N392.909",Not on view
"Actress holding black and white dog to shoulder, from the Actresses Folder Series (N96) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons &amp; Co.","Issued by W. Duke, Sons &amp; Co. (New York and Durham, N.C.)","W. Duke, Sons & Co.",,unknown,"Issued by W. Duke, Sons &amp; Co. (New York and Durham, N.C.) Date: ca. 1889<br/>Accession Number: 63.350.205.96.25",/art/collection/search/428150?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=7,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1889,19th century,Commercial color lithograph,Commercial color lithograph,63.350.205.96.25,Not on view
"Actress holding dog and parasol, from the Actresses series (N664) promoting Old Fashion Fine Cut Tobacco",,,,unknown,"Date: 1888-90<br/>Accession Number: Burdick 230, N664.150",/art/collection/search/710242?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=8,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB869700.jpg,dp/web-additional/DPB869700.jpg,dp/web-large/DPB869700.jpg,1888-90,19th century,Albumen photograph,Albumen photograph,"Burdick 230, N664.150",Not on view
"Actress with hat seated and holding small dog on hip, from the Actors and Actresses series (N150a) issued by W. Duke Sons &amp; Co.","Issued by W. Duke, Sons &amp; Co. (New York and Durham, N.C.)","W. Duke, Sons & Co.",,unknown,"Issued by W. Duke, Sons &amp; Co. (New York and Durham, N.C.) Date: 1889<br/>Accession Number: Burdick 209, N150a.452",/art/collection/search/887825?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=9,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1889,19th century,Albumen photograph,Albumen photograph,"Burdick 209, N150a.452",Not on view
Actress with small dog from Actresses (N392) (type 3) issued by National Cigarette &amp; Tobacco Co. to promote Admiral Cigarette,Issued by National Cigarette &amp; Tobacco Co.,National Cigarette & Tobacco Co.,,unknown,"Issued by National Cigarette &amp; Tobacco Co.Date: ca. 1888-95<br/>Accession Number: Burdick 225, N392.972",/art/collection/search/898314?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=10,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1888-95,19th century,Albumen photograph,Albumen photograph,"Burdick 225, N392.972",Not on view
"Airedale from Cowan""s Dog Pictures (V13)","Cowan Company, Limited (Canadian, 1893-1926)","Cowan Company, Limited",,unknown,"Cowan Company, Limited (Canadian, 1893-1926) Date: ca. 1929<br/>Accession Number: Burdick 335, V13.18",/art/collection/search/840158?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=11,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1929,20th century,Commercial color photolithograph,Commercial color photolithograph,"Burdick 335, V13.18",Not on view
Airedale Terrier from Our Friend - the Dog Educational Pictures (W608-4),,,,unknown,Date: ca. 1950-55<br/>Accession Number: 63.350.536.608.4.19,/art/collection/search/814559?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=12,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882437.jpg,dp/web-additional/DPB882437.jpg,dp/web-large/DPB882437.jpg,ca. 1950-55,20th century,Commercial color photolithograph,Commercial color photolithograph,63.350.536.608.4.19,Not on view
"An alley of fountains, a group of people in center, a man and dog seated to right, two men and a woman to left, one of the men tasting the water from the fountain, the villa in background to right, from ""Views of the villa at Pratolino"" (Vues de la villa de Pratolino)","Stefano della Bella (Italian, Florence 1610-1664 Florence)",Stefano della Bella,,unknown,"Stefano della Bella (Italian, Florence 1610-1664 Florence) Date: ca. 1653<br/>Accession Number: 2012.136.537.1",/art/collection/search/411206?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=13,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP827728.jpg,dp/web-additional/DP827728.jpg,dp/web-large/DP827728.jpg,ca. 1653,17th century,Etching,Etching,2012.136.537.1,Not on view
"Alsatian Wolfhound from Cowan""s Dog Pictures (V13)","Cowan Company, Limited (Canadian, 1893-1926)","Cowan Company, Limited",,unknown,"Cowan Company, Limited (Canadian, 1893-1926) Date: ca. 1929<br/>Accession Number: Burdick 335, V13.5",/art/collection/search/840144?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=14,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1929,20th century,Commercial color photolithograph,Commercial color photolithograph,"Burdick 335, V13.5",Not on view
"Alternative design for a fireplace with paneling on either side, vases above the mantle on the right-hand side and a dog andiron on the left-hand side, from Cheminées et Lambris a la Mode excutez dans les nouueaux Batimens de Paris, bound in Oeuvres. Vol. I","Pierre Le Pautre (French, ca. 1660-1744)",Pierre Le Pautre,,unknown,"Pierre Le Pautre (French, ca. 1660-1744) Date: ca. 1690-95<br/>Accession Number: 33.84(1.132)",/art/collection/search/431048?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=15,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1690-95,17th century,Etching,Etching,33.84(1.132),Not on view
Angry Dog,"Attributed to Jean-Baptiste Oudry (French, Paris 1686-1755 Beauvais)",Jean-Baptiste Oudry,,unknown,"Attributed to Jean-Baptiste Oudry (French, Paris 1686-1755 Beauvais) Date: 18th century<br/>Accession Number: 1975.131.122",/art/collection/search/337908?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=16,https://images.metmuseum.org/CRDImages/dp/mobile-large/1975.131.122.jpg,dp/web-additional/1975.131.122.jpg,dp/web-large/1975.131.122.jpg,18th century,18th century,"Black chalk, heightened with white on brownish paper",Black chalk,1.975.131.122,Not on view
"Antique Ewer with a Handle in the Shape of a Dog Looking into the Spout, from ""Series of Vases after the Antique""","Enea Vico (Italian, Parma 1523-1567 Ferrara)",Enea Vico,,unknown,"Enea Vico (Italian, Parma 1523-1567 Ferrara) Date: 1543<br/>Accession Number: 26.50.1(29)",/art/collection/search/370830?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=17,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1543,16th century,Engraving [early edition of the first state],Engraving ,26.50.1(29),Not on view
"Antique Ewer with a Spout in the Shape of a Dog (?) Holding Up a Plate in his Mouth, from ""Series of Vases after the Antique""","Enea Vico (Italian, Parma 1523-1567 Ferrara)",Enea Vico,,unknown,"Enea Vico (Italian, Parma 1523-1567 Ferrara) Date: 1543<br/>Accession Number: 26.50.1(26)",/art/collection/search/370858?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=18,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1543,16th century,Engraving [early edition of the first state],Engraving ,26.50.1(26),Not on view
Apothecary Jar with Running Hares and a Dog,,,,unknown,Date: 12th century<br/>Accession Number: 2013.255,/art/collection/search/458261?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=19,https://images.metmuseum.org/CRDImages/is/mobile-large/DP353096.jpg,is/web-additional/DP353096.jpg,is/web-large/DP353096.jpg,12th century,12th century,Stonepaste; luster-painted on opaque white glaze,Stonepaste,2.013.255,Not on view
"The Artist""s Wife and His Setter Dog","Thomas Eakins (American, Philadelphia, Pennsylvania 1844-1916 Philadelphia, Pennsylvania)",Thomas Eakins,American,America,"Thomas Eakins (American, Philadelphia, Pennsylvania 1844-1916 Philadelphia, Pennsylvania) Date: ca. 1884-89<br/>Accession Number: 23.139",/art/collection/search/10811?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=20,https://images.metmuseum.org/CRDImages/ad/mobile-large/DT2037.jpg,ad/web-additional/DT2037.jpg,ad/web-large/DT2037.jpg,ca. 1884-89,19th century,Oil on canvas,Oil on canvas,23.139,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzAzNDczLDQwLjc4MDQ3NjI3QGxtQDg2MzY5MzY5Njgx' target='_blank'>Gallery 773</a>
"The Ass, Jealous of the Attention the Dog Is Getting From His Master, Looks to Imitate Him by Jumping at the Master""s Neck from Hendrick van Alcmar""s Renard The Fox","Allart van Everdingen (Dutch, Alkmaar 1621-1675 Amsterdam)",Allart van Everdingen,,unknown,"Allart van Everdingen (Dutch, Alkmaar 1621-1675 Amsterdam) Date: 1650-75<br/>Accession Number: 62.650.8(50)",/art/collection/search/429623?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=21,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP837679.jpg,dp/web-additional/DP837679.jpg,dp/web-large/DP837679.jpg,1650-75,17th century,Engraving; third state of four,Engraving,62.650.8(50),Not on view
Avarice (or Hatred?) brandishing a bone before a dog,"Medalist: Peter FlÃ¶tner (German, Thurgau 1485-1546 Nuremberg)",Peter FlÃ¶tner,German,Germany,"Medalist: Peter FlÃ¶tner (German, Thurgau 1485-1546 Nuremberg) Date: 16th century<br/>Accession Number: 08.80.103",/art/collection/search/211256?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=22,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,16th century,16th century,Lead,Lead,08.80.103,Not on view
A Baby in 16th century Dress with a Rooster and a Dog (in Sketch Book With Drawings on Twenty-six Leaves),"Frederic, Lord Leighton (British, Scarborough 1830-1896 London)","Frederic, Lord Leighton",,unknown,"Frederic, Lord Leighton (British, Scarborough 1830-1896 London) Date: ca. 1849<br/>Accession Number: 42.21(7)",/art/collection/search/418097?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=23,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP826419.jpg,dp/web-additional/DP826419.jpg,dp/web-large/DP826419.jpg,ca. 1849,19th century,Brush and India ink wash over graphite,Brush and India ink wash over graphite,42.21(7),Not on view
